Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       6845mil       4890mil -21316.268mil -15734.508mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       -270mil       5065mil -21316.268mil -15734.508mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       -205mil      -1895mil -21316.268mil -15734.508mil  T        360.00 Comment        
C2B        SMD_0805          1401.889mil   2153.818mil   1401.889mil   2153.818mil   1401.889mil   2108.818mil  T         90.00 Cap SMD        
U9         TQFP100_L         5054.409mil   2040.631mil   5054.408mil    2040.63mil    4758.15mil   2276.851mil  T        360.00 EPM240T100C3   
U7D        182H_M            4145.905mil   2553.307mil   4145.905mil   2553.308mil    4049.45mil   2628.307mil  T          0.00 FOD0708        
U7C        182H_M            3073.071mil   2553.307mil    3073.07mil   2553.308mil   2976.615mil   2628.307mil  T          0.00 FOD0708        
U7B        182H_M            2000.236mil   2553.307mil   2000.236mil   2553.307mil    1903.78mil   2628.307mil  T          0.00 FOD0708        
U7A        182H_M             927.402mil   2553.307mil    927.401mil   2553.308mil    830.946mil   2628.307mil  T          0.00 FOD0708        
U4D        SOT23A            3835.904mil   2753.307mil   3835.905mil   2753.307mil   3798.502mil   2707.047mil  T          0.00 LM3480IM3-5.0  
U4C        SOT23A            2763.071mil   2753.307mil   2763.071mil   2753.307mil   2725.669mil   2707.047mil  T          0.00 LM3480IM3-5.0  
U4B        SOT23A            1690.236mil   2753.307mil   1690.236mil   2753.307mil   1652.834mil   2707.047mil  T          0.00 LM3480IM3-5.0  
U4A        SOT23A             617.402mil   2753.307mil    617.401mil   2753.307mil        580mil   2707.047mil  T          0.00 LM3480IM3-5.0  
U2D        182H_M            3212.912mil   1976.654mil   3212.912mil   1976.655mil   3116.456mil   2051.654mil  T          0.00 FOD0708        
U2C        182H_M            2327.085mil   1976.654mil   2327.085mil   1976.655mil   2230.629mil   2051.654mil  T          0.00 FOD0708        
U2A        182H_M             555.432mil   1976.654mil    555.432mil   1976.655mil    458.976mil   2051.654mil  T        360.00 FOD0708        
U1D        SOT23A            3301.495mil   2153.818mil   3301.496mil   2153.818mil   3264.093mil   2107.558mil  T        360.00 LM3480IM3-5.0  
U1C        SOT23A            2415.668mil   2153.818mil   2415.669mil   2153.818mil   2378.266mil   2107.558mil  T        360.00 LM3480IM3-5.0  
U1A        SOT23A             644.015mil   2153.818mil    644.015mil   2153.818mil    606.613mil   2107.558mil  T        360.00 LM3480IM3-5.0  
R47        SMD_0805           163.463mil    175.508mil    163.464mil    175.508mil    163.463mil    130.508mil  T         90.00 Res SMD        
R46        SMD_0805           468.465mil    170.508mil    468.464mil    170.508mil    468.465mil    215.508mil  T        270.00 Res SMD        
R45        SMD_0805           533.463mil    170.508mil    533.464mil    170.508mil    533.463mil    125.508mil  T         90.00 Res SMD        
R32        SMD_0805          5452.215mil     719.92mil   5452.214mil    719.921mil   5452.215mil     764.92mil  T        270.00 Res SMD        
R31        SMD_0805          5452.215mil     569.92mil   5452.214mil    569.921mil   5452.215mil     614.92mil  T        270.00 Res SMD        
R22        SMD_0805              5674mil   1359.998mil       5674mil   1359.999mil       5719mil   1359.998mil  T        180.00 Res SMD        
R21        SMD_0805              5674mil       1425mil       5674mil   1424.999mil       5629mil       1425mil  T        360.00 Res SMD        
R20F       SMD_0805          4600.472mil   3179.133mil   4600.471mil   3179.134mil   4600.472mil   3224.133mil  T        270.00 Res SMD        
R20E       SMD_0805          3813.071mil   3179.133mil    3813.07mil   3179.133mil   3813.071mil   3224.133mil  T        270.00 Res SMD        
R20D       SMD_0805          3025.669mil   3179.133mil   3025.668mil   3179.133mil   3025.669mil   3224.133mil  T        270.00 Res SMD        
R20C       SMD_0805          2238.268mil   3179.133mil   2238.267mil   3179.134mil   2238.268mil   3224.133mil  T        270.00 Res SMD        
R20B       SMD_0805          1450.866mil   3179.133mil   1450.866mil   3179.133mil   1450.866mil   3224.133mil  T        270.00 Res SMD        
R20A       SMD_0805           663.465mil   3179.133mil    663.465mil   3179.134mil    663.465mil   3224.133mil  T        270.00 Res SMD        
R17F       SMD_0805          4121.607mil   3344.999mil   4121.608mil   3344.999mil   4166.607mil   3344.999mil  T        180.00 Res SMD        
R17E       SMD_0805          3334.205mil   3344.999mil   3334.204mil   3344.999mil   3379.205mil   3344.999mil  T        180.00 Res SMD        
R17D       SMD_0805          2546.804mil   3344.999mil   2546.803mil   3344.999mil   2591.804mil   3344.999mil  T        180.00 Res SMD        
R17C       SMD_0805          1759.402mil   3344.999mil   1759.403mil       3345mil   1804.402mil   3344.999mil  T        180.00 Res SMD        
R17B       SMD_0805           972.001mil   3344.999mil        972mil       3345mil   1017.001mil   3344.999mil  T        180.00 Res SMD        
R17A       SMD_0805           201.999mil       3364mil        202mil       3364mil    246.999mil       3364mil  T        180.00 Res SMD        
R13F       SMD_0805          4599.488mil   3550.197mil   4599.489mil   3550.197mil   4599.488mil   3595.197mil  T        270.00 Res SMD        
R13E       SMD_0805          3812.087mil   3550.197mil   3812.088mil   3550.197mil   3812.087mil   3595.197mil  T        270.00 Res SMD        
R13D       SMD_0805          3024.685mil   3550.197mil   3024.686mil   3550.198mil   3024.685mil   3595.197mil  T        270.00 Res SMD        
R13C       SMD_0805          2237.284mil   3550.197mil   2237.283mil   3550.197mil   2237.284mil   3595.197mil  T        270.00 Res SMD        
R13B       SMD_0805          1449.882mil   3550.197mil   1449.881mil   3550.197mil   1449.882mil   3595.197mil  T        270.00 Res SMD        
R13A       SMD_0805           662.481mil   3550.197mil    662.481mil   3550.197mil    662.481mil   3595.197mil  T        270.00 Res SMD        
