level,item_number,Quantity,reference_designator
0,830-00014,1,
1,175-00017,1,Bare PCB
1,450-00001,2,
1,478-00003,1,
1,125-00060,42,"xU1, xU2"
1,120-00041,2,"C1, C2"
1,120-00044,2,"C3, C4"
1,120-00045,2,"C5, C6"
1,140-00012,1,D1
1,125-00037,2,"P1, P2"
1,125-00056,1,P3
1,181-04022,4,"R1, R2, R3, R4"
1,185-00010,1,S1
1,170-00001,2,"U1, U2"
1,150-00076,1,U3
