Level,item_number,reference_designator,Quantity
0,830-00014,,1
1,120-00041,"C1, C2",2
1,120-00044,"C3, C4",2
1,120-00045,"C5, C6",2
1,140-00012,"D1, D2",2
1,125-00037,"P1, P2",2
1,125-00056,P3,1
1,181-04991,R1,1
1,185-00010,S1,1
1,170-00001,"U1, U2",2
1,150-00076,U3,1
1,450-00001,"HU1,HU2",2
1,478-00003,PCB_mount,1
1,125-00094,"xU1,xU2",42
