Level,item_number,reference_designator,Quantity
0,830-00035,none,1
1,120-00006,C1,1
1,125-00047,"P1, P5",2
1,125-00055,"P2, P4",2
1,125-00083,P3,1
1,125-00126,J1,1
1,125-00127,J2,1
1,150-00093,Q1,1
1,180-00078,"R1, R2, R3, R4, R5",5
1,181-01003,R6,1
1,181-02003,R7,1
1,175-00037,Bare PCB,1
