Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
J1H        PESC-02-12-02-01-S-VT-LC     2165.5mil   2466.142mil     2165.5mil   2466.142mil     2015.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1I        PESC-02-12-02-01-S-VT-LC     3565.5mil   2466.142mil     3565.5mil   2466.142mil     3415.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1J        PESC-02-12-02-01-S-VT-LC     4965.5mil   2466.142mil     4965.5mil   2466.142mil     4815.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1K        PESC-02-12-02-01-S-VT-LC     6365.5mil   2466.142mil     6365.5mil   2466.142mil     6215.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1L        PESC-02-12-02-01-S-VT-LC     7765.5mil   2466.142mil     7765.5mil   2466.142mil     7615.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J2         HDR2X7                2245mil   9256.079mil       2295mil   9556.079mil       2295mil   9556.079mil  B        270.00 15-91-0140     
J3         RJ45,_VERT_MOUNT,_NO_MAGNETICS       6333mil   9278.079mil       6353mil   9418.079mil       6353mil   9418.079mil  B         90.00 RJHSE-3381     
J4         USB_Vertical_PCB   3171.992mil   9324.378mil       3409mil   9368.079mil   3221.205mil   9261.386mil  B        360.00 61729-0010BLF  
K1A        RELAY,_TYCO_RT1    252.362mil   7707.874mil        400mil       8200mil        400mil       8200mil  B        270.00 Dual-Latching, 24V
K1B        RELAY,_TYCO_RT1   1652.362mil   7707.874mil       1800mil       8200mil       1800mil       8200mil  B        270.00 Dual-Latching, 24V
K1C        RELAY,_TYCO_RT1   3052.362mil   7707.874mil       3200mil       8200mil       3200mil       8200mil  B        270.00 Dual-Latching, 24V
K1D        RELAY,_TYCO_RT1   4452.362mil   7707.874mil       4600mil       8200mil       4600mil       8200mil  B        270.00 Dual-Latching, 24V
K1E        RELAY,_TYCO_RT1   5852.362mil   7707.874mil       6000mil       8200mil       6000mil       8200mil  B        270.00 Dual-Latching, 24V
K1F        RELAY,_TYCO_RT1   7252.362mil   7707.874mil       7400mil       8200mil       7400mil       8200mil  B        270.00 Dual-Latching, 24V
K1G        RELAY,_TYCO_RT1     252.35mil   2456.693mil    399.988mil   2948.819mil    399.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
K1H        RELAY,_TYCO_RT1    1652.35mil   2456.693mil   1799.988mil   2948.819mil   1799.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
K1I        RELAY,_TYCO_RT1    3052.35mil   2456.693mil   3199.988mil   2948.819mil   3199.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
