Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
U4F        SMD_SOT23_5           7245mil       7850mil       7245mil       7850mil       7288mil       7813mil  T        270.00 100 V/V        
U4G        SMD_SOT23_5        244.988mil   2598.819mil    244.988mil   2598.819mil    287.988mil   2561.819mil  T        270.00 100 V/V        
U4H        SMD_SOT23_5       1644.988mil   2598.819mil   1644.988mil   2598.819mil   1687.988mil   2561.819mil  T        270.00 100 V/V        
U4I        SMD_SOT23_5       3044.988mil   2598.819mil   3044.988mil   2598.819mil   3087.988mil   2561.819mil  T        270.00 100 V/V        
U4J        SMD_SOT23_5       4444.988mil   2598.819mil   4444.988mil   2598.819mil   4487.988mil   2561.819mil  T        270.00 100 V/V        
U4K        SMD_SOT23_5       5844.988mil   2598.819mil   5844.988mil   2598.819mil   5887.988mil   2561.819mil  T        270.00 100 V/V        
U4L        SMD_SOT23_5       7244.988mil   2598.819mil   7244.988mil   2598.819mil   7287.988mil   2561.819mil  T        270.00 100 V/V        
C3         SMD_0805              4165mil   9170.079mil       4165mil   9170.079mil       4165mil   9215.079mil  B        270.00 Cap SMD        
C4         SMD_0805              1561mil       9301mil       1561mil       9301mil       1516mil       9301mil  B        360.00 Cap SMD        
P1         HDR1X2_for_IDC        4997mil       9121mil       4997mil       9071mil       4997mil       9071mil  B         90.00 Header 2       
R8         SMD_0805              4340mil   9170.079mil       4340mil   9170.079mil       4340mil   9215.079mil  B        270.00 Res 0805       
R9         SMD_0805              4250mil   9170.079mil       4250mil   9170.079mil       4250mil   9125.079mil  B         90.00 Res 0805       
R10        SMD_0805              1561mil       9126mil       1561mil       9126mil       1516mil       9126mil  B        360.00 Res 0805       
R11        SMD_0805              1561mil       9211mil       1561mil       9211mil       1606mil       9211mil  B        180.00 Res 0805       
TP4        SMD_TEST_POINT        4025mil   9095.079mil       4025mil   9095.079mil       4025mil   9095.079mil  B         90.00 Test Point SMD 
TP5        SMD_TEST_POINT        1748mil       9471mil       1748mil       9471mil       1748mil       9471mil  B         90.00 Test Point SMD 
TP6        PAD_80D_052H          6902mil   3972.079mil       6902mil   3972.079mil       6902mil   3972.079mil  B        180.00 Test point     
TP7        PAD_80D_052H          1512mil   9753.079mil       1512mil   9753.079mil       1512mil   9753.079mil  B        180.00 Test point     
TP8        PAD_80D_052H          6952mil   9789.079mil       6952mil   9789.079mil       6952mil   9789.079mil  B        180.00 Test point     
TP9        SMD_TEST_POINT        4557mil   9872.079mil       4557mil   9872.079mil       4557mil   9872.079mil  B        270.00 Test Point SMD 
TP12       SMD_TEST_POINT        5497mil   9887.079mil       5497mil   9887.079mil       5497mil   9887.079mil  B         90.00 Test Point SMD 
TP13       SMD_TEST_POINT        5839mil   9894.079mil       5839mil   9894.079mil       5839mil   9894.079mil  B         90.00 Test Point SMD 
U20        TO-252(D-PAK)__POWERPAD   1721.268mil       1071mil       1738mil       1071mil    1566.74mil    981.236mil  B        360.00 Voltage Reg, Fixed
C12        2012[0805]            1407mil       1162mil       1407mil       1162mil   1444.401mil       1162mil  B        180.00 1u             
C8         SMD_0805              4611mil       9630mil       4611mil       9630mil       4611mil       9585mil  T         90.00 Cap SMD        
C9         SMD_0805              4612mil       9416mil       4612mil       9416mil       4612mil       9461mil  T        270.00 Cap SMD        
J5         CONN_Molex_Micro-fit,_4_POS   4093.945mil   9485.559mil   4093.945mil   9467.055mil    4034.89mil       9408mil  B        180.00 Molex 43045-0412
R14        SMD_0805              4882mil       9539mil       4882mil       9539mil       4837mil       9539mil  B        360.00 Res 0805       
R15        SMD_0805              4881mil       9474mil       4881mil       9474mil       4926mil       9474mil  B        180.00 Res 0805       
R16        SMD_0805              4398mil       9446mil       4398mil       9446mil       4398mil       9401mil  B         90.00 Res 0805       
R17        SMD_0805              3824mil       9484mil       3824mil       9484mil       3824mil       9439mil  B         90.00 Res 0805       
U6         S8_M                  4611mil       9514mil       4611mil       9514mil   4707.457mil       9589mil  B        180.00 LT1007CS8#PBF  

