Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -528mil       -482mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       3251mil       2349mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -609mil       2306mil     -13916mil  -9946.724mil  T          0.00 Comment        
Q1E        SOT23A            1379.323mil   1218.945mil   1379.323mil   1218.945mil   1333.063mil   1256.346mil  T        270.00 2N7002         
Q1D        SOT23A            1946.504mil   1333.575mil   1946.504mil   1333.575mil   1900.244mil   1370.976mil  T        270.00 2N7002         
Q1C        SOT23A            1694.409mil    1382.52mil   1694.409mil    1382.52mil    1648.15mil   1419.921mil  T        270.00 2N7002         
Q1B        SOT23A            1994.961mil    1530.63mil   1994.961mil    1530.63mil   1948.701mil   1568.031mil  T        270.00 2N7002         
Q1A        SOT23A            1754.331mil   1568.819mil   1754.331mil   1568.819mil   1708.071mil    1606.22mil  T        270.00 2N7002         
P1         FC1_Flex_Cable_connector_20_pos       2525mil    1161.26mil       2525mil    1161.26mil   2476.772mil   1535.281mil  B        270.00 Header 20 for flex cable
L1L        SMT_Inductor_6_x_6mm   1057.087mil    323.622mil   1057.087mil    323.622mil   1057.087mil    215.354mil  T         90.00 495-2664-1-ND  
L1K        SMT_Inductor_6_x_6mm    781.496mil    323.622mil    781.496mil    323.622mil    781.496mil    215.354mil  T         90.00 495-2664-1-ND  
L1J        SMT_Inductor_6_x_6mm    505.906mil    323.622mil    505.906mil    323.622mil    505.906mil    215.354mil  T         90.00 495-2664-1-ND  
L1I        SMT_Inductor_6_x_6mm    230.315mil    323.622mil    230.315mil    323.622mil    230.315mil    215.354mil  T         90.00 495-2664-1-ND  
L1H        SMT_Inductor_6_x_6mm   1057.087mil    914.173mil   1057.087mil    914.173mil   1057.087mil    805.905mil  T         90.00 495-2664-1-ND  
L1G        SMT_Inductor_6_x_6mm    781.496mil    914.173mil    781.496mil    914.173mil    781.496mil    805.905mil  T         90.00 495-2664-1-ND  
L1F        SMT_Inductor_6_x_6mm    505.906mil    914.173mil    505.906mil    914.173mil    505.906mil    805.905mil  T         90.00 495-2664-1-ND  
L1E        SMT_Inductor_6_x_6mm    230.315mil    914.173mil    230.315mil    914.173mil    230.315mil    805.905mil  T         90.00 495-2664-1-ND  
L1D        SMT_Inductor_6_x_6mm   1057.087mil   1504.724mil   1057.087mil   1504.724mil   1057.087mil   1396.457mil  T         90.00 495-2664-1-ND  
L1C        SMT_Inductor_6_x_6mm    781.496mil   1504.724mil    781.496mil   1504.724mil    781.496mil   1396.457mil  T         90.00 495-2664-1-ND  
L1B        SMT_Inductor_6_x_6mm    505.906mil   1504.724mil    505.906mil   1504.724mil    505.906mil   1396.457mil  T         90.00 495-2664-1-ND  
L1A        SMT_Inductor_6_x_6mm    230.315mil   1504.724mil    230.315mil   1504.724mil    230.315mil   1396.457mil  T         90.00 495-2664-1-ND  
C4         SMD_CAP_3216          2530mil     481.26mil       2530mil     481.26mil       2530mil     536.26mil  T         90.00 16V            
