Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
C17B       SMD_0805           779.179mil        684mil    779.178mil        684mil    779.179mil        639mil  T         90.00 Cap SMD        
C17A       SMD_0805               228mil        684mil        228mil        684mil        228mil        639mil  T         90.00 Cap SMD        
C16H       SMD_0805          4288.267mil        940mil   4288.267mil        940mil   4333.267mil        940mil  B        180.00 16V            
C16G       SMD_0805          3737.084mil        940mil   3737.084mil        940mil   3782.084mil        940mil  B        180.00 16V            
C16F       SMD_0805          3185.905mil        940mil   3185.904mil        940mil   3230.905mil        940mil  B        180.00 16V            
C16E       SMD_0805          2634.722mil        940mil   2634.722mil        940mil   2679.722mil        940mil  B        180.00 16V            
C16D       SMD_0805          2083.541mil        940mil    2083.54mil        940mil   2128.541mil        940mil  B        180.00 16V            
C16C       SMD_0805           1532.36mil        940mil    1532.36mil        940mil    1577.36mil        940mil  B        180.00 16V            
C16B       SMD_0805           981.179mil        940mil    981.178mil        940mil   1026.179mil        940mil  B        180.00 16V            
C16A       SMD_0805               430mil        940mil        430mil        940mil        475mil        940mil  B        180.00 16V            
C15H       SMD_0805          4317.267mil        733mil   4317.267mil        733mil   4362.267mil        733mil  T        180.00 16V            
C15G       SMD_0805          3766.084mil        733mil   3766.084mil        733mil   3811.084mil        733mil  T        180.00 16V            
C15F       SMD_0805          3214.905mil        733mil   3214.904mil        733mil   3259.905mil        733mil  T        180.00 16V            
C15E       SMD_0805          2663.722mil        733mil   2663.722mil        733mil   2708.722mil        733mil  T        180.00 16V            
C15D       SMD_0805          2112.541mil        733mil    2112.54mil        733mil   2157.541mil        733mil  T        180.00 16V            
C15C       SMD_0805           1561.36mil        733mil    1561.36mil        733mil    1606.36mil        733mil  T        180.00 16V            
C15B       SMD_0805          1010.179mil        733mil   1010.178mil        733mil   1055.179mil        733mil  T        180.00 16V            
C15A       SMD_0805               459mil        733mil        459mil        733mil        504mil        733mil  T        180.00 16V            
C14H       SMD_0805          3962.267mil        820mil   3962.267mil        820mil   3962.267mil        775mil  T         90.00 16V            
C14G       SMD_0805          3411.084mil        820mil   3411.084mil        820mil   3411.084mil        775mil  T         90.00 16V            
C14F       SMD_0805          2859.905mil        820mil   2859.905mil        820mil   2859.905mil        775mil  T         90.00 16V            
C14E       SMD_0805          2308.722mil        820mil   2308.722mil        820mil   2308.722mil        775mil  T         90.00 16V            
C14D       SMD_0805          1757.541mil        820mil   1757.541mil        820mil   1757.541mil        775mil  T         90.00 16V            
C14C       SMD_0805           1206.36mil        820mil    1206.36mil        820mil    1206.36mil        775mil  T         90.00 16V            
C14B       SMD_0805           655.179mil        820mil    655.179mil        820mil    655.179mil        775mil  T         90.00 16V            
C14A       SMD_0805               104mil        820mil        104mil        820mil        104mil        775mil  T         90.00 16V            
C13        SMD_0805          4121.001mil       2192mil       4121mil       2192mil   4121.001mil       2237mil  B        270.00 1u             
C12        SMD_0805          5090.001mil   2277.001mil       5090mil       2277mil   5090.001mil   2232.001mil  B         90.00 Cap SMD        
C11        SMD_0805              5090mil   2084.999mil       5090mil       2085mil       5090mil   2129.999mil  B        270.00 Cap SMD        
C10        CAP,_Thru_Hole_10mm_dia    5078.74mil   3070.866mil    5078.74mil   3070.866mil   5177.166mil   3070.866mil  T          0.00 35V            
C9         SMD_0805          5560.001mil       2840mil       5560mil       2840mil   5605.001mil       2840mil  B        180.00 35V CER        
C8         SMD_0805          5560.001mil   2750.001mil       5560mil       2750mil   5605.001mil   2750.001mil  B        180.00 35V CER        
C7         SMD_0805          5560.001mil       2660mil       5560mil       2660mil   5605.001mil       2660mil  B        180.00 35V CER        
C6         SMD_0805          5560.001mil   2579.999mil       5560mil       2580mil   5605.001mil   2579.999mil  B        180.00 35V CER        
C5         CAP,_Thru_Hole_10mm_dia   5077.999mil   2572.999mil       5078mil       2573mil   4979.574mil   2572.999mil  B        180.00 35V            
C4         SMD_0805          3310.001mil       2820mil       3310mil       2820mil   3355.001mil       2820mil  B        180.00 35V CER        
C3         SMD_0805          3310.001mil       2740mil       3310mil       2740mil   3355.001mil       2740mil  B        180.00 35V CER        
C2         SMD_0805          3310.001mil       2660mil       3310mil       2660mil   3355.001mil       2660mil  B        180.00 35V CER        
C1         SMD_0805          3310.001mil   2892.999mil       3310mil       2893mil   3355.001mil   2892.999mil  B        180.00 35V CER        
C35        SMD_0805              3037mil       3113mil       3037mil       3113mil       3082mil       3113mil  B        180.00 Cap SMD        
C36        SMD_0805              2724mil       3139mil       2724mil       3139mil       2724mil       3094mil  T         90.00 Cap SMD        
Q1         SMD_SOT23_3           2830mil       2955mil       2830mil       2955mil       2787mil       2992mil  T        270.00 FDV304P        
S1         CAS-120B              2406mil       3208mil       2406mil       3208mil   2474.898mil   3284.772mil  T        180.00 CJS-1200TB     
U10        PW008_N               3005mil       3114mil       3005mil       3114mil   3043.386mil   3226.205mil  T        270.00 SN74CBT3306PWLE
U11        SOP8_N                2719mil       3161mil       2719mil       3161mil   2620.575mil       3086mil  B        360.00 M24C32RMN1     
U12        SMD_SOT23_3           2828mil       2769mil       2828mil       2769mil       2871mil       2732mil  T         90.00 DS2411         
C37        SMD_0805              2071mil       2700mil       2071mil       2700mil       2071mil       2745mil  B        270.00 Cap SMD        
C38        SMD_0805               416mil       2986mil        416mil       2986mil        416mil       2941mil  B         90.00 Cap SMD        
C39        SMD_0805               492mil       2985mil        492mil       2985mil        492mil       2940mil  B         90.00 Cap SMD        
C40        SMD_0805              1911mil       2974mil       1911mil       2974mil       1911mil       2929mil  B         90.00 Cap SMD        
C41        SMD_0805              2126mil       2875mil       2126mil       2875mil       2081mil       2875mil  B        360.00 Cap SMD        
C42        SMD_0805              1862mil       2798mil       1862mil       2798mil       1907mil       2798mil  B        180.00 Cap SMD        
TP2        PAD_80D_052H      1102.001mil   3032.999mil       1102mil       3033mil   1102.001mil   3032.999mil  T         90.00 Test point     
C43        SMD_CAP_6032           399mil       2520mil        399mil       2520mil        284mil       2520mil  T        180.00 50V            

