Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
TP3        PAD_80D_052H          6903mil       2179mil       6903mil   2179.001mil       6903mil       2179mil  T         90.00 Test point     
TP1        PAD_80D_052H          3039mil       2588mil       3039mil   2588.001mil       3039mil       2588mil  T         90.00 Test point     
RN2        RES_ARRAY_0603_x_4    600.386mil   3002.252mil    642.708mil   3049.497mil    638.772mil   3049.496mil  B        270.00 RES ARRAY  x4  
RN1        RES_ARRAY_0603_x_4   4827.614mil   2161.748mil   4869.937mil   2208.993mil       4866mil   2208.992mil  B        270.00 RES ARRAY  x4 10K
R9D        SMD_0805           6533.65mil   1309.197mil    6533.65mil   1309.196mil    6533.65mil   1264.197mil  B         90.00 Res 0805       
R9C        SMD_0805          5982.471mil   1309.197mil   5982.471mil   1309.198mil   5982.471mil   1264.197mil  B         90.00 Res 0805       
R9B        SMD_0805          5431.288mil   1309.197mil   5431.288mil   1309.198mil   5431.288mil   1264.197mil  B         90.00 Res 0805       
R9A        SMD_0805          4880.109mil   1309.197mil    4880.11mil   1309.197mil   4880.109mil   1264.197mil  B         90.00 Res 0805       
R8D        SMD_0805           6536.65mil   1141.198mil    6536.65mil   1141.199mil    6536.65mil   1186.198mil  B        270.00 Res 0805       
R8C        SMD_0805          5985.471mil   1141.198mil    5985.47mil   1141.197mil   5985.471mil   1186.198mil  B        270.00 Res 0805       
R8B        SMD_0805          5434.288mil   1141.198mil   5434.287mil   1141.197mil   5434.288mil   1186.198mil  B        270.00 Res 0805       
R8A        SMD_0805          4883.109mil   1141.198mil    4883.11mil   1141.197mil   4883.109mil   1186.198mil  B        270.00 Res 0805       
R7D        6332[2512]        6944.879mil    851.968mil   6944.878mil    851.968mil   6944.879mil    741.732mil  T         90.00 1W (2512)      
R7C        6332[2512]          6393.7mil    851.968mil   6393.701mil    851.967mil     6393.7mil    741.732mil  T         90.00 1W (2512)      
R7B        6332[2512]        5842.517mil    851.968mil   5842.518mil    851.968mil   5842.517mil    741.732mil  T         90.00 1W (2512)      
R7A        6332[2512]        5291.338mil    851.969mil   5291.338mil    851.969mil   5291.338mil    741.732mil  T         90.00 1W (2512)      
R6H        VISHAY_S102_SERIES   4109.267mil   1200.999mil   4109.267mil       1201mil   4009.267mil   1200.999mil  T        360.00 S102           
R6G        VISHAY_S102_SERIES   3558.084mil   1200.999mil   3558.084mil       1201mil   3458.084mil   1200.999mil  T        360.00 S102           
R6F        VISHAY_S102_SERIES   3006.905mil   1200.999mil   3006.905mil       1201mil   2906.905mil   1200.999mil  T        360.00 S102           
R6E        VISHAY_S102_SERIES   2455.722mil   1200.999mil   2455.721mil       1201mil   2355.722mil   1200.999mil  T        360.00 S102           
R6D        VISHAY_S102_SERIES   1904.541mil   1200.999mil   1904.541mil       1201mil   1804.541mil   1200.999mil  T        360.00 S102           
R6C        VISHAY_S102_SERIES    1353.36mil   1200.999mil   1353.359mil       1201mil    1253.36mil   1200.999mil  T        360.00 S102           
R6B        VISHAY_S102_SERIES    802.179mil   1200.999mil    802.178mil       1201mil    702.179mil   1200.999mil  T        360.00 S102           
R6A        VISHAY_S102_SERIES        251mil   1200.999mil        251mil       1201mil        151mil   1200.999mil  T        360.00 S102           
R5H        SMD_0805          4156.267mil        684mil   4156.267mil        684mil   4156.267mil        639mil  B         90.00 Res 0805       
R5G        SMD_0805          3605.084mil        684mil   3605.084mil        684mil   3605.084mil        639mil  B         90.00 Res 0805       
R5F        SMD_0805          3053.905mil        684mil   3053.905mil        684mil   3053.905mil        639mil  B         90.00 Res 0805       
R5E        SMD_0805          2502.722mil        684mil   2502.722mil        684mil   2502.722mil        639mil  B         90.00 Res 0805       
R5D        SMD_0805          1951.541mil        684mil   1951.541mil        684mil   1951.541mil        639mil  B         90.00 Res 0805       
R5C        SMD_0805           1400.36mil        684mil    1400.36mil        684mil    1400.36mil        639mil  B         90.00 Res 0805       
R5B        SMD_0805           849.179mil        684mil    849.179mil        684mil    849.179mil        639mil  B         90.00 Res 0805       
R5A        SMD_0805               298mil        684mil        298mil        684mil        298mil        639mil  B         90.00 Res 0805       
R4H        SMD_0805          4086.267mil        684mil   4086.267mil        684mil   4086.267mil        639mil  B         90.00 Res 0805       
R4G        SMD_0805          3535.084mil        684mil   3535.084mil        684mil   3535.084mil        639mil  B         90.00 Res 0805       
R4F        SMD_0805          2983.905mil        684mil   2983.904mil        684mil   2983.905mil        639mil  B         90.00 Res 0805       
R4E        SMD_0805          2432.722mil        684mil   2432.721mil        684mil   2432.722mil        639mil  B         90.00 Res 0805       
R4D        SMD_0805          1881.541mil        684mil    1881.54mil        684mil   1881.541mil        639mil  B         90.00 Res 0805       
